NNS	0.032258064516129004	23
NN	0.0535714285714286	10
NNS	0.021276595744680882	8
IN	0.03389830508474578	11
NNS	0.031746031746031744	9
VB	0.02298850574712641	15
DT	0.021276595744680882	7
VB	0.032258064516129004	6
JJ	0.04761904761904767	3
VB	0.015873015873015928	12
NN	0.017857142857142905	6
NN	0.026490066225165587	27
MD	0.02030456852791873	33
NN	0.016949152542372836	10
RB	0.05128205128205132	6
IN	0.037735849056603765	8
JJ	0.02564102564102566	7
NN	0.046511627906976716	18
MD	0.02030456852791873	33
VB	0.02941176470588236	12
VB	0.014925373134328401	11
NNS	0.06521739130434778	7
VB	0.08139534883720934	16
VB	0.008196721311475419	23
VB	0.031746031746031744	11
DT	0.02564102564102566	19
VB	0.021505376344086002	17
NN	0.01388888888888884	11
JJ	0.011904761904761862	13
JJ	0.020000000000000018	10
JJ	0.030303030303030276	5
NN	0.030303030303030276	5
IN	0.0714285714285714	24
JJ	0.10606060606060608	8
JJ	0.03448275862068961	5
JJ	0.03448275862068961	6
DT	0.011111111111111072	32
JJ	0.04166666666666663	5
JJ	0.02857142857142858	7
JJ	0.033333333333333326	6
NN	0.04878048780487809	7
NN	0.05769230769230771	23
VBN	0.04166666666666663	10
NN	0.022140221402214055	51
NN	0.02564102564102566	6
JJ	0.038461538461538436	4
VB	0.033333333333333326	6
VBN	0.02941176470588236	6
NN	0.010869565217391353	18
NN	0.016129032258064502	12
VB	0.02777777777777779	7
NN	0.04255319148936165	8
NN	0.09999999999999998	4
VB	0.06000000000000005	8
IN	0.054545454545454564	10
NN	0.03448275862068961	3
VB	0.05555555555555558	3
TO	0.04347826086956519	10
TO	0.04347826086956519	10
NN	0.1071428571428571	4
NNS	0.048387096774193505	9
NNS	0.05084745762711862	9
DT	0.029069767441860517	27
VB	0.0625	3
VB	0.0714285714285714	3
NN	0.0357142857142857	7
VB	0.033333333333333326	6
IN	0.02564102564102566	10
RB	0.015151515151515138	13
WRB	0.035532994923857864	27
NNS	0.08771929824561409	3
NNS	0.08823529411764708	4
VBN	0.0390625	46
NNS	0.019607843137254943	9
DT	0.040000000000000036	18
NNS	0.10606060606060608	8
VB	0.09090909090909094	1
NNS	0.014084507042253502	11
NNS	0.03448275862068961	26
NNS	0.020689655172413834	24
VBZ	0.038961038961038974	13
NNS	0.023809523809523836	8
NN	0.02777777777777779	8
VB	0.033333333333333326	6
RB	0.033333333333333326	7
VBZ	0.01041666666666663	17
VB	0.029126213592232997	18
NNS	0.03809523809523807	17
NNS	0.04895104895104896	22
VB	0.05494505494505497	16
IN	0.028169014084507005	14
JJ	0.06060606060606055	4
VB	0.03703703703703709	4
VB	0.038461538461538436	4
DT	0.05970149253731338	14
WRB	0.051724137931034475	9
IN	0.04878048780487809	8
NN	0.03125	6
JJ	0.024691358024691357	13
NN	0.1428571428571429	1
VB	0.014705882352941124	10
NNS	0.061224489795918324	8
VBZ	0.04166666666666663	12
JJ	0.01941747572815533	10
NN	0.06976744186046513	6
DT	0.019230769230769273	9
RBR	0.015151515151515138	10
NNS	0.0625	2
VBZ	0.024390243902439046	7
JJ	0.02970297029702973	18
JJ	0.017699115044247815	22
RB	0.0625	7
IN	0.09523809523809523	11
NN	0.0357142857142857	16
JJ	0.030303030303030276	5
NNS	0.05833333333333335	56
VB	0.04347826086956519	16
PRP	0.03658536585365857	29
PRP	0.03658536585365857	29
PRP	0.03658536585365857	29
IN	0.04761904761904767	3
IN	0.04761904761904767	3
VB	0.060869565217391286	24
VBN	0.031746031746031744	9
PRP	0.03658536585365857	29
JJ	0.06000000000000005	10
VB	0.020408163265306145	7
NN	0.03703703703703709	4
JJ	0.04761904761904767	4
IN	0.0625	3
NN	0.038461538461538436	4
VBN	0.02298850574712641	19
DT	0.02083333333333337	12
NN	0.012658227848101222	15
RB	0.04807692307692313	17
DT	0.017857142857142905	11
NN	0.04166666666666663	2
IN	0.0431034482758621	23
IN	0.028037383177570097	19
NN	0.02898550724637683	25
VB	0.03448275862068961	7
CC	0.038461538461538436	10
VBN	0.03125	6
VB	0.02631578947368418	7
WRB	0.02734375	47
WRB	0.02409638554216864	16
VB	0.01538461538461533	38
DT	0.04500000000000004	36
NN	0.05769230769230771	10
VBN	0.09677419354838712	5
VBN	0.04166666666666663	5
VBN	0.01754385964912286	12
VBN	0.01754385964912286	12
PRP	0.015037593984962405	23
DT	0.02020202020202022	18
VB	0.01851851851851849	10
IN	0.03508771929824561	23
IN	0.03260869565217395	68
NN	0.06617647058823528	15
NN	0.16666666666666663	1
VB	0.025000000000000022	9
DT	0.019230769230769273	11
JJ	0.05128205128205132	4
NN	0.07042253521126762	6
VB	0.023255813953488413	8
JJ	0.07999999999999996	4
NN	0.023809523809523836	7
VB	0.06038647342995174	64
VB	0.04147465437788023	41
NN	0.020000000000000018	9
RB	0.02941176470588236	14
NN	0.08695652173913049	6
IN	0.015873015873015928	25
VB	0.07692307692307687	11
JJ	0.045454545454545414	3
VB	0.0357142857142857	12
DT	0.05960264900662249	26
VB	0.05405405405405406	5
VBZ	0.04347826086956519	14
RB	0.050000000000000044	7
NN	0.1428571428571429	1
NN	0.09375	4
VB	0.038461538461538436	4
VB	0.11414392059553347	39
RB	0.1578947368421053	4
JJ	0.0714285714285714	3
NN	0.04705882352941182	14
IN	0.05555555555555558	4
CC	0.018181818181818188	10
JJ	0.045454545454545414	5
JJ	0.04761904761904767	5
JJ	0.04761904761904767	5
JJ	0.045454545454545414	5
VB	0.027027027027026973	6
VB	0.02777777777777779	6
VB	0.07999999999999996	4
